"id","stage","negotiator_slot","role","role_observer","age","economic_status","sex","sex_man","participant_faculty","participant_engineering","treatment","attention_pass","analysis_include","iri_total","iri_total_z","iri_fs","iri_ec","iri_pt","iri_pd","faculty_negotiator","faculty_victim","negotiator_alignment","perp_outgroup","perp_control","victim_outgroup","same_group_harm","decision_accept","comparative_judgement","judgement","severity","condemnation"
5,9,1,"victim",0,28,3,2,1,1,0,2,TRUE,TRUE,2.46428571428571,0.595617878625076,2.14285714285714,2.875,2.28571428571429,2.5,2,1,"outgroup",1,0,0,0,1,1,-5,14,5
5,10,2,"victim",0,28,3,2,1,1,0,2,TRUE,TRUE,2.46428571428571,0.595617878625076,2.14285714285714,2.875,2.28571428571429,2.5,1,1,"ingroup",0,0,0,1,1,2,-3,12,3
6,1,2,"observer",1,19,3,1,0,1,0,2,TRUE,TRUE,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,2,2,"outgroup",1,0,1,1,1,3,-5,14,5
6,2,1,"observer",1,19,3,1,0,1,0,2,TRUE,TRUE,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,2,1,"outgroup",1,0,0,0,1,3,5,4,-5
6,2,2,"observer",1,19,3,1,0,1,0,2,TRUE,TRUE,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,3,1,"control",0,1,0,,1,3,5,4,-5
6,4,2,"observer",1,19,3,1,0,1,0,2,TRUE,TRUE,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,3,2,"control",0,1,1,,1,1,9,0,-9
6,6,1,"victim",0,19,3,1,0,1,0,2,TRUE,TRUE,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,1,1,"ingroup",0,0,0,1,1,3,-9,18,9
6,6,2,"victim",0,19,3,1,0,1,0,2,TRUE,TRUE,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,3,1,"control",0,1,0,,1,3,-9,18,9
6,7,2,"victim",0,19,3,1,0,1,0,2,TRUE,TRUE,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
6,8,2,"victim",0,19,3,1,0,1,0,2,TRUE,TRUE,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
6,10,2,"victim",0,19,3,1,0,1,0,2,TRUE,TRUE,2.53571428571429,0.751817379935974,2.85714285714286,2.625,2.28571428571429,2.33333333333333,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
7,2,2,"victim",0,19,3,1,0,1,0,1,TRUE,TRUE,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,3,1,"control",0,1,0,,1,2,-5,14,5
7,4,1,"victim",0,19,3,1,0,1,0,1,TRUE,TRUE,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,3,1,"control",0,1,0,,1,2,9,0,-9
7,5,1,"victim",0,19,3,1,0,1,0,1,TRUE,TRUE,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,3,1,"control",0,1,0,,1,3,-9,18,9
7,5,2,"victim",0,19,3,1,0,1,0,1,TRUE,TRUE,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,1,1,"ingroup",0,0,0,1,1,3,-9,18,9
7,7,1,"observer",1,19,3,1,0,1,0,1,TRUE,TRUE,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,2,2,"outgroup",1,0,1,1,1,2,9,0,-9
7,8,2,"observer",1,19,3,1,0,1,0,1,TRUE,TRUE,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,3,2,"control",0,1,1,,1,2,-9,18,9
7,9,1,"observer",1,19,3,1,0,1,0,1,TRUE,TRUE,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,1,2,"ingroup",0,0,1,0,1,3,9,0,-9
7,10,1,"observer",1,19,3,1,0,1,0,1,TRUE,TRUE,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,3,1,"control",0,1,0,,1,3,9,0,-9
7,10,2,"observer",1,19,3,1,0,1,0,1,TRUE,TRUE,2.89285714285714,1.53281488649047,3,2.25,3.42857142857143,3,2,1,"outgroup",1,0,0,0,1,3,9,0,-9
8,3,1,"victim",0,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,2,1,"outgroup",1,0,0,0,1,2,4,5,-4
8,4,1,"victim",0,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,2,1,"outgroup",1,0,0,0,1,3,5,4,-5
8,4,2,"victim",0,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,2,1,"outgroup",1,0,0,0,1,3,5,4,-5
8,5,1,"victim",0,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,2,1,"outgroup",1,0,0,0,1,2,4,5,-4
8,6,2,"observer",1,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,2,1,"outgroup",1,0,0,0,1,2,1,8,-1
8,7,1,"observer",1,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,2,1,"outgroup",1,0,0,0,1,1,1,8,-1
8,9,1,"observer",1,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,3,2,"control",0,1,1,,1,3,4,5,-4
8,9,2,"observer",1,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,1,2,"ingroup",0,0,1,0,1,3,4,5,-4
8,10,1,"observer",1,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,1,2,"ingroup",0,0,1,0,1,3,1,8,-1
8,10,2,"observer",1,19,1,2,1,1,0,1,TRUE,TRUE,1.75,-0.966377134483912,1.42857142857143,1.875,2.42857142857143,1.16666666666667,3,2,"control",0,1,1,,1,3,1,8,-1
10,1,1,"observer",1,21,3,1,0,1,0,2,TRUE,TRUE,2.67857142857143,1.06421638255777,2.57142857142857,2.375,3.57142857142857,2.16666666666667,2,2,"outgroup",1,0,1,1,1,3,-9,18,9
10,1,2,"observer",1,21,3,1,0,1,0,2,TRUE,TRUE,2.67857142857143,1.06421638255777,2.57142857142857,2.375,3.57142857142857,2.16666666666667,1,2,"ingroup",0,0,1,0,1,3,-9,18,9
