"group_negotiator_judged","group_negotiator_counterpart","group_victim","role","decision_accept","Observations","MeanJudgement","SDJudgement","SEJudgement","Lower95","Upper95"
"Cont","Cont","Out","observer",1,46,-2.60869565217391,4.81884384875121,0.710499763464871,-4.00127518856506,-1.21611611578277
"In","Cont","Out","observer",1,64,-3.421875,5.08594292891598,0.635742866114498,-4.66793101758442,-2.17581898241558
"Out","Cont","Out","observer",1,79,-3.35443037974684,4.97181279090265,0.559372641671382,-4.45080075742274,-2.25806000207093
"Cont","In","Out","observer",1,38,-2.94736842105263,5.11461799276826,0.829700599327835,-4.57358159573519,-1.32115524637008
"In","In","Out","observer",1,55,-2.85454545454545,5.27193190332216,0.710867152827075,-4.24784507408652,-1.46124583500439
"Out","In","Out","observer",1,62,-3.75806451612903,3.56984402410318,0.453370644431975,-4.6466709792157,-2.86945805304236
"Cont","Out","Out","observer",1,73,-3.75342465753425,4.5362148376452,0.530923788526103,-4.79403528304541,-2.71281403202308
"In","Out","Out","observer",1,42,-2.35714285714286,4.89310828725478,0.755023000450686,-3.8369879380262,-0.877297776259512
"Out","Out","Out","observer",1,35,-2.71428571428571,5.62855863155991,0.951400055090355,-4.57902982226281,-0.849541606308619
"Cont","Cont","","victim",1,113,-3.67256637168142,4.86687505687337,0.457837092981639,-4.56992707392543,-2.7752056694374
"In","Cont","","victim",1,106,-3.58490566037736,5.13413956166312,0.498671717161251,-4.56230222601341,-2.60750909474131
"Out","Cont","","victim",1,118,-4.13559322033898,5.22471976795204,0.480974440400827,-5.0783031235246,-3.19288331715336
"Cont","In","","victim",1,129,-2.70542635658915,5.63943024157693,0.496524146735654,-3.67861368419103,-1.73223902898727
"In","In","","victim",1,96,-4.4375,4.16454331861629,0.425041922596951,-5.27058216829002,-3.60441783170998
"Out","In","","victim",1,96,-3.77083333333333,4.87200200213135,0.497246622126661,-4.74543671270159,-2.79622995396508
"Cont","Out","","victim",1,125,-3.448,5.70717714529188,0.510465442260233,-4.44851226683006,-2.44748773316994
"In","Out","","victim",1,94,-3.85106382978723,4.89669066832471,0.505055079166728,-4.84097178495402,-2.86115587462045
"Out","Out","","victim",1,87,-3.97701149425287,5.51947295152871,0.591749613703209,-5.13684073711116,-2.81718225139458
