"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"iri_ec:bystander_N1_groupIn",-0.428505733427908,0.711027322670512,NA,-0.602657197220643,0.54673676153316,-1.82211928586211,0.965107819006295,"Bystander-N1: Ingroup (ref = Control) x Empathy: Empathic concern","B-N1 In x EC","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.547"
"iri_ec:bystander_N1_groupOut",-0.0617091107401201,0.703396496329471,NA,-0.0877301935140939,0.930091121185349,-1.44036624354588,1.31694802206564,"Bystander-N1: Outgroup (ref = Control) x Empathy: Empathic concern","B-N1 Out x EC","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.930"
"iri_pt:bystander_N1_groupIn",-0.562411035638308,0.669573276496286,NA,-0.839954423780574,0.400933941032127,-1.87477465757103,0.749952586294411,"Bystander-N1: Ingroup (ref = Control) x Empathy: Perspective taking","B-N1 In x PT","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.401"
"iri_pt:bystander_N1_groupOut",-0.245328168071193,0.630001759765777,NA,-0.389408702862039,0.696973835164118,-1.48013161721212,0.989475281069731,"Bystander-N1: Outgroup (ref = Control) x Empathy: Perspective taking","B-N1 Out x PT","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.697"
"iri_pd:bystander_N1_groupIn",-0.785043974057317,0.559802380171528,NA,-1.40235912147564,0.160808033900436,-1.88225663919351,0.312168691078877,"Bystander-N1: Ingroup (ref = Control) x Empathy: Personal distress","B-N1 In x PD","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.161"
"iri_pd:bystander_N1_groupOut",-0.323813342997903,0.577860977142157,NA,-0.560365478560846,0.575230173364667,-1.45642085819653,0.808794172200725,"Bystander-N1: Outgroup (ref = Control) x Empathy: Personal distress","B-N1 Out x PD","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.575"
"iri_fs:bystander_N2_groupIn",-0.123740841778299,0.472316380221468,NA,-0.261987191128703,0.793331317386641,-1.04948094701238,0.801999263455778,"Bystander-N2: Ingroup (ref = Control) x Empathy: Fantasy scale","B-N2 In x FS","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.793"
"iri_fs:bystander_N2_groupOut",-0.295695055761692,0.489394894804751,NA,-0.604205435938726,0.545707067316786,-1.254909049579,0.663518938055621,"Bystander-N2: Outgroup (ref = Control) x Empathy: Fantasy scale","B-N2 Out x FS","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.546"
"iri_ec:bystander_N2_groupIn",-0.220961462073491,0.710746831225042,NA,-0.310886313334161,0.755887049652344,-1.61402525127457,1.17210232712759,"Bystander-N2: Ingroup (ref = Control) x Empathy: Empathic concern","B-N2 In x EC","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.756"
"iri_ec:bystander_N2_groupOut",0.138880133932787,0.693394460547266,NA,0.200290227042158,0.841253605383634,-1.22017300873985,1.49793327660543,"Bystander-N2: Outgroup (ref = Control) x Empathy: Empathic concern","B-N2 Out x EC","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.841"
"iri_pt:bystander_N2_groupIn",-0.672211355624699,0.640788544035671,NA,-1.04903772372572,0.294160756527002,-1.92815690193461,0.583734190685216,"Bystander-N2: Ingroup (ref = Control) x Empathy: Perspective taking","B-N2 In x PT","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.294"
"iri_pt:bystander_N2_groupOut",-1.11867832070948,0.646866748343078,NA,-1.7293798507574,0.0837411337948038,-2.38653714746191,0.149180506042954,"Bystander-N2: Outgroup (ref = Control) x Empathy: Perspective taking","B-N2 Out x PT","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.084+"
"iri_pd:bystander_N2_groupIn",-0.559621199437726,0.568652092779161,NA,-0.984118772345849,0.325057117870079,-1.67417930128488,0.55493690240943,"Bystander-N2: Ingroup (ref = Control) x Empathy: Personal distress","B-N2 In x PD","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.325"
"iri_pd:bystander_N2_groupOut",-0.0789652642324269,0.563227085900616,NA,-0.140201467949929,0.888500812105444,-1.18289035259763,1.02495982413278,"Bystander-N2: Outgroup (ref = Control) x Empathy: Personal distress","B-N2 Out x PD","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.889"
